year,ronda,piloto_id,vuelta,numero_parada,duracion_parada
2018,1,brendon_hartley,1,1,22.213
2018,1,raikkonen,18,1,21.421
2018,1,hamilton,19,1,21.821
2018,1,leclerc,20,1,22.242
2018,1,max_verstappen,21,1,20.953
2018,1,kevin_magnussen,22,1,21.983
2018,1,sainz,22,1,23.868
2018,1,brendon_hartley,22,2,22.296
2018,1,ocon,23,1,21.854
2018,1,grosjean,24,1,23.054
2018,1,hulkenberg,24,1,22.628
2018,1,perez,24,1,22.327
2018,1,vandoorne,25,1,22.474
2018,1,bottas,25,1,21.664
2018,1,stroll,25,1,25.504
2018,1,vettel,26,1,21.787
2018,1,ricciardo,26,1,21.440
2018,1,alonso,26,1,22.573
2018,1,leclerc,27,2,22.836
2018,1,stroll,29,2,21.397
2018,2,max_verstappen,2,1,30.381
2018,2,leclerc,3,1,25.563
2018,2,perez,9,1,24.992
2018,2,vandoorne,10,1,25.081
2018,2,stroll,10,1,33.612
2018,2,kevin_magnussen,13,1,25.106
2018,2,alonso,14,1,24.993
2018,2,gasly,15,1,24.835
2018,2,hulkenberg,15,1,24.454
2018,2,ocon,15,1,24.719
2018,2,sainz,16,1,25.768
2018,2,vettel,18,1,24.524
2018,2,grosjean,18,1,25.011
2018,2,raikkonen,19,1,25.018
2018,2,bottas,20,1,26.105
2018,2,brendon_hartley,20,1,36.646
2018,2,sirotkin,22,1,24.672
2018,2,ericsson,23,1,25.194
2018,2,hamilton,26,1,24.302
2018,2,sainz,26,2,25.307
2018,2,kevin_magnussen,27,2,24.629
2018,2,vandoorne,28,2,25.131
2018,2,grosjean,30,2,25.527
2018,2,stroll,30,2,24.638
2018,2,perez,32,2,24.677
2018,2,gasly,34,2,24.957
2018,2,leclerc,34,2,25.139
2018,2,ocon,35,2,24.596
2018,2,hulkenberg,39,2,24.382
2018,2,alonso,39,2,24.581
2018,2,sirotkin,40,2,25.693
2018,2,brendon_hartley,42,2,24.953
2018,2,grosjean,45,3,26.263
2018,3,brendon_hartley,10,1,23.172
2018,3,ocon,11,1,23.281
2018,3,sainz,12,1,23.935
2018,3,perez,12,1,22.856
2018,3,hulkenberg,13,1,23.654
2018,3,grosjean,16,1,22.981
2018,3,max_verstappen,17,1,22.715
2018,3,ricciardo,17,1,23.042
2018,3,hamilton,18,1,22.464
2018,3,bottas,19,1,22.097
2018,3,vettel,20,1,23.009
2018,3,gasly,20,1,23.950
2018,3,leclerc,21,1,23.392
2018,3,vandoorne,22,1,23.730
2018,3,stroll,23,1,22.661
2018,3,kevin_magnussen,24,1,22.973
2018,3,raikkonen,27,1,22.913
2018,3,sirotkin,28,1,23.716
2018,3,alonso,29,1,24.110
2018,3,ericsson,29,1,22.785
2018,3,max_verstappen,31,2,22.596
2018,3,brendon_hartley,30,2,24.070
2018,3,ricciardo,31,2,22.691
2018,3,hulkenberg,31,2,23.297
2018,3,sainz,31,2,23.117
2018,3,ocon,31,2,22.637
2018,3,gasly,31,2,34.650
2018,3,perez,32,2,22.334
2018,3,sirotkin,33,2,22.723
2018,3,grosjean,46,2,23.735
2018,4,raikkonen,1,1,30.012
2018,4,brendon_hartley,1,1,21.376
2018,4,alonso,1,1,56.710
2018,4,kevin_magnussen,1,1,35.608
2018,4,ericsson,1,1,44.107
2018,4,perez,2,1,28.109
2018,4,grosjean,2,1,21.725
2018,4,gasly,12,1,20.782
2018,4,sainz,15,1,21.516
2018,4,vandoorne,17,1,21.103
2018,4,ericsson,18,2,25.378
2018,4,hamilton,22,1,20.377
2018,4,brendon_hartley,22,2,20.809
2018,4,stroll,23,1,19.737
2018,4,leclerc,24,1,21.058
2018,4,vandoorne,25,2,20.887
2018,4,vettel,30,1,20.037
2018,4,ricciardo,37,1,19.925
2018,4,ericsson,36,3,32.629
2018,4,max_verstappen,38,1,19.765
2018,4,bottas,40,1,20.192
2018,4,vettel,40,2,20.823
2018,4,kevin_magnussen,39,2,21.778
2018,4,hamilton,40,2,21.329
2018,4,gasly,39,2,21.287
2018,4,brendon_hartley,39,3,21.072
2018,4,raikkonen,40,2,21.149
2018,4,vandoorne,39,3,20.760
2018,4,perez,40,2,26.174
2018,4,grosjean,40,2,22.757
